### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  9.27811	9.99695e-07	7.81467e-09	 (32 , 32 , 32) 
  9.27872	9.59766e-07	7.21557e-09	 (32 , 32 , 32) 
  9.27931	9.21429e-07	6.66201e-09	 (32 , 32 , 32) 
  9.27987	8.84622e-07	6.15055e-09	 (32 , 32 , 32) 
  9.28041	8.49282e-07	5.67805e-09	 (32 , 32 , 32) 
  9.28093	8.15352e-07	5.24155e-09	 (32 , 32 , 32) 
  9.28143	7.82776e-07	4.83836e-09	 (32 , 32 , 32) 
  9.28191	7.515e-07	4.46595e-09	 (32 , 32 , 32) 
  9.28237	7.21472e-07	4.122e-09	 (32 , 32 , 32) 
  9.28281	6.92643e-07	3.80436e-09	 (32 , 32 , 32) 
  9.28323	6.64964e-07	3.51103e-09	 (32 , 32 , 32) 
  9.28364	6.38391e-07	3.24018e-09	 (32 , 32 , 32) 
